language	en	fr	ja	ko	es	pt	de	nl	zh-cn	fa	lt	twi	nw	tgl
askReplay	Would you like to listen to that again?	Désirez-vous réécouter l'enregistrement ?	もう一度ききますか。				Nochmal anhören	Nogmaals beluisteren	你想要重新播放吗	آیا می خواهید دوباره به آن گوش دهید؟	Ar norėtumete dar viena karta pasiklausyti?	Wopɛ sɛ wotie bio?	Vil du høre det igjen?	Gusto mo bang pakinggan muli iyon?
recordSound	Start audio recording now	Commencez l'enregistrement audio maintenant	録音を始める				Audioaufnahme jetzt starten	Begin opname	立即开始录音	اکنون ضبط صدا را شروع کنید	Pradėti garso įrašyma	Start audio recording now	Begynn lydopptak nå	Simulan ang pag-record ng audio ngayon
startRecording	Click here to start recording	Cliquez ici pour démarrer l'enregistrement	ここをクリックして、録音を始める。				Klicken Sie hier, um die Aufnahme zu starten	Klik hier om de opname te beginnen	单击此处开始录音	برای شروع ضبط صدا اینجا را کلیک کنید	Paspauskite čia pradėti įrašyma	Mia ha na record	Klikk her for å starte opptaket	Mag-click dito upang simulan ang pagre-record
recordDialogue	Click here to record dialogue!	Cliquez ici pour enregistrer le dialogue	ここをクリックして、対話を録音する。				Klicken Sie hier, um den Dialog aufzuzeichnen!	Klik hier om het dialoog op te nemen!	单击此处录对话	برای ضبط مکالمه اینجا را کلیک کنید	Paspauskite čia pradėti dialogo įrašyma	Mia ha na record wo nyiano	Klikk her for å ta opp dialog	Mag-click dito para mag-record ng dialogue!
saySentence	When you're ready, click and say the following sentence:	Lorsque vous serez prêt à commencer l'enregistrement, cliquez ici et dites la phrase suivante :	準備ができたら、ボタンをクリックして、以下の文を音読してください。				Wenn Sie fertig sind, klicken Sie und sagen Sie den folgenden Satz:	Als u zover bent, klik hier en spreek de volgende zin in:	准备就绪后,单击并说以下句子:	وقتی آماده شدید, کلیک کنید و جمله زیر را بگویید:	Kai būsite pasiruošę, paspauskite mygtuką ir pasakykite šį sakynį:	When you're ready, click and say the following sentence:	Når du er klar, klikk og si følgende setning:	Kapag handa ka na, i-click at sabihin ang sumusunod na pangungusap:
doneRecording	Click here when you're done recording	Cliquez ici lorsque vous aurez terminé l'enregistrement	録音が完了したら、ここをクリックしてください				Klicken Sie hier, wenn Sie mit der Aufnahme fertig sind	Klik hier als u klaar bent met de opname.	录完后,请单击此处	پس از اتمام ضبط اینجا را کلیک کنید	Baigę įrašymą paspauskite čia	Wo record wo nyiano wie a, mia ha	Klikk her når du er ferdig med opptaket	Mag-click dito kapag tapos ka nang mag-record
speakNow	Please speak now!	Veuillez parler maintenant !	録音を開始します。				Bitte sprechen Sie jetzt!	Begin met spreken	请现在发音！	لطفا الان صحبت کنید!	Kalbėkite dabar!	Mepaakyɛw kasa sesiaa!	Vennligst snakk nå!	Mangyaring magsalita ngayon!
recordAgain	Redo recording	Reprendre l'enregistrement	録音のやり直し				Aufnahme wiederholen	Opnieuw opnemen	重新录音	دوباره ضبط کنید	Įrašyti iš naujo	Record bio	Ta opp lyd på nytt	Gawin muli ang pag-record
recordCheckOk	The recording sounds good	L'enregistrement sonne bien	録音は良さそうです				Die Aufnahme klingt gut	De opname klinkt goed	录音听起来不错	ضبط صدا خوب است	Įrašas gerai skamba.	Recording no yɛ	Dette opptaket høres bra ut	Maganda ang tunog ng recording
adjustMic	Adjust mic settings if necessary	Ajustez les paramètres du micro si nécessaire	必要に応じて、マイクの設定を行ってください。				Gegebenenfalls Mikrofoneinstellungen anpassen	Pas de microfoon configuratie aan indien nodig	必要时调整麦克风设置	در صورت لزوم تنظیمات میکروفون را درست کنید	Pakeiskite mikrofono nustatymus jei reikalinga	Adjust mic settings if necessary	Justér mikrofoninnstillinger om nødvendig	Ayusin ang mga setting ng mikropono kung kinakailangan
adjustMicAfter	Did you hear your voice? Adjust mic settings and retry if necessary	Avez-vous bien entendu votre voix? Au besoin, veuillez ajuster les paramètres du micro et essayer à nouveau	あなたの声は聞こえましたか？マイクの設定を調整し、必要に応じて再試行してください 				Haben Sie Ihre Stimme gehört? Wenn nicht, überprüfen Sie die Mikrofoneinstellungen und versuchen Sie es erneut!	Heeft u uw stem gehoord? Zo niet, controleer dan de microfooninstellingen en probeer het opnieuw	听到你的声音了吗？如果需要,再次调整麦克风音量	صدایتان را شنیدید؟ در صورت لزوم  تنظیمات میکروفون را  بررسی کنید و دوباره امتحان کنید!	Ar jūs išgirdote savo balsą? Pakeiskite mikrofono nustatymus, ir pabandykite iš naujo, jei reikalinga	Did you hear your voice? Adjust mic settings and retry if necessary	Hørte du din egen stemme? Justér mikrofoninnstillinger om nødvendig og prøv igjen	Narinig mo ba boses mo? Ayusin ang mga setting ng mikropono at subukang muli kung kinakailangan
productionTestSentence	The cat followed the squirrel stealthily to its nest.	Le chat a suivi l'écureuil furtivement jusqu'à son nid.	りょうこさんは、箸を使って、ラーメンを食べさせられた。				Die Katze folgte dem Eichhörnchen heimlich zu seinem Nest.	Een andere naam voor Den Haag is 's-Gravenhage.	北风承认还是太阳的本事大	خیزید و خز آرید که هنگام خزان است	Katė slaptai sekė voverę iki lizdo	The cat followed the squirrel stealthily to its nest.	Katten fulgte snikende etter ekornet til redet	Palihim na sinundan ng pusa ang ardilya patungo sa pugad nito.
recordCheckNotOk	I cannot get it to work	Je n'arrive pas à le faire fonctionner	録音できません。				Es klappt nicht	Ik krijg het niet aan de praat	我无法使它正常工作	نمی توانم به کار بیندازمش	Man neveikia	I cannot get it to work	Jeg får det ikke til å fungere	Hindi ko ito mapapatakbo
instructionsHeadphoneCheck	<b>Headphone Test</b><br><br> <em>You will not be able to do the following test without headphones!</em>  <p><br><br> You will hear three sounds in a row, and you will be asked which one was the quietest of them.<br><br> This task will be repeated 6 times(this should take only 2 minutes).<br><br></p>	<br> <em> Ce qui suit est un test sonore. Il vous faudra des écouteurs pour effectuer le test. </ em><p> <br> <br> Veuillez écouter les trois tonalités sonores, puis choisir celle qui est la moins forte.<br> <br> Vous aurez à répéter cette tâche 6 fois. (La durée du test est d'environ 2 minutes.)<br> <br> </ p> 	<br> <em>これから、サウンドテストを行います。テストを行うためには、ヘッドホンが必要です。</em><p><br><br> 3つの音を続けてきき、その後、どの音が一番小さかったか答えてもらいます。<br><br> このテストは６回行われます。（テストの所要時間は、およそ３分です。）<br><br></p>	<br> <em> 다음은 헤드폰 테스트입니다.헤드폰없이이 작업을 수행 할 수 있습니다! </ em> <p> <br> <br>연속해서 들리면 어느 것이 가장 조용한 지 묻습니다.<br> <br>이 작업은 6 번 반복됩니다 (2 분 소요).<br> <br> </ p>	<br> <em> Vamos hacer una prueba de sonido. Se requiere audífonos para realizar la prueba. </ em><p> <br> <br> Siga los tres sonidos y luego decida cuál fue el más suave.<br> <br> Esta prueba se ejecutará 6 veces. (El tiempo total es de aproximadamente 2 minutos).<br> <br> </ p>	<br> <em>Vamos fazer um teste de som. Fones de ouvido são necessários para realizar o teste. </ em><p> <br> <br> Acompanhe os três sons e então decida qual foi o mais baixo.<br> <br> Este teste será executado 6 vezes. (O tempo total é de aproximadamente 2 minutos.)<br> <br> </ p>	<br> <em> Es folgt ein Kopfhörertest -- Kopfhörer sind dazu absolut notwendig! </ em> <p> <br> <br> Du wirst drei Töne hören, und  musst dann beantworteen, welcher der leiseste von ihnen war.<br> <br> Dies wird 6 Mal wiederholt (und dauert insgesamt etwa 2 Minuten).<br> <br> </ p> 	<br> <em>Nu komt een koptelefoon test -- hiervoor heb je een koptelefoon nodig!</em>  <p><br><br> Je krijgt drie geluiden in een reeks te horen, aan jou de taak om te bepalen welke het zachtste is. <br><br> Deze taak wordt 6 keer herhaald (dit duurt slechts 2 minuten).<br><br></p>	"<br> <em>以下是耳机测试---您需要戴上耳机
才能开始测试！</ em> <p> <br> <br>您将连续听到三个声音
      ,请回答哪个声音最小。<br> <br>此任务将重复6次（此过程仅需2分钟）。<br> <br> </ p>"	<br> <em>تست  هدفون: برای انجام این تست به هدفون نیاز دارید!</em> <p><br><br>در ابتدا سه تا صدا را پشت سر هم خواهید شنید و سپس از شما پرسیده می شود که کدام صدا از همه آرام تر بود.<br><br> این کار 6 بار تکرار می شود (مدت زمان این تست تقریباً 2 دقیقه است).<br><br></p>	<b> Ausinių Testas </b><br><br> <em> Testas neimanomas be ausinių! </em>  <p><br><br> Išgirsite tris garsus iš eilės ir būsite paklausti, kuris iš jų buvo tyliausias. <br><br> Ši užduotis bus pakartota 6 kartus, ir turėtų užtrukti tik dvi minutes. <br><br></p>	<b>Headphone Test</b><br><br> <em>You will not be able to do the following test without headphones!</em>  <p><br><br> You will hear three sounds in a row, and you will be asked which one was the quietest of them.<br><br> This task will be repeated 6 times(this should take only 2 minutes).<br><br></p>	<b>Høretelefontest</b><br><br> <em>Du vil ikke kunne fullføre denne testen uten høretelefoner! !</em> <p><br><br> Du skal nå få høre tre lyder på rad og bli spurt hvilken av dem var lavest.<br><br> Denne oppgaven vil bli repetert 6 ganger (dette tar bare 2 minutter).<br><br></p>	<b>Pagsubok sa Headphone</b><br><br> <em>Hindi mo magagawa ang sumusunod na pagsubok nang walang headphone!</em> <p><br><br> Makakarinig ka ng tatlong tunog sa isang hilera, at tatanungin ka kung alin ang pinakatahimik sa kanila.<br><br> Ang gawaing ito ay uulitin ng 6 na beses(ito ay dapat tumagal lamang ng 2 minuto).<br><br></p>
startHeadphoneTest	Play the first set of three sounds!	Démarrer la lecture du premier ensemble de trois tonalités sonores !	１セット目の3つの音をきく。	첫 번째 세 세트의 사운드를 연주하십시오!	¡Reproducir el primer conjunto de tres sonidos!	Reproduzir o primeiro conjunto de três sons!	Die ersten drei Töne abspielen	Speel de eerste reeks met drie geluiden af!	播放第一组的三个声音！	اولین مجموعه از سه تا صدا را پخش کنید!	Groti pirmąjį trijų garsų rinkinį.	Play the first set of three sounds!	Spill av de tre første lydene	I-play ang unang set ng tatlong tunog!
questionHeadphoneTest	Which sound was quietest?	Quel tonalité sonore était la moins forte ?	どの音が一番小さかったですか。	어떤 소리가 가장 조용한가?	¿Qué sonido fue el más suave?	Qual som foi o mais baixo?	Welcher Ton war am leisesten?	Welk geluid was het zachtst?	哪个声音最小？	کدام صدا از همه آرام‌تر بود؟	Kuris garsas buvo tyliausias?	Which sound was quietest?	Hvilken lyd var stillest?	Aling tunog ang pinakatahimik?
optionsHeadphoneTest	["The first sound was the softest.", "The second sound was the softest.", "The third sound was the softest."]	["La première tonalité était la moins forte.", "La deuxième tonalité était la moins forte.", "La troisième tonalité était la moins forte."]	["1つ目の音が一番小さかったです。", "２つ目の音が一番小さかったです。", "３つ目の音が一番小さかったです。"]	["첫 번째 소리가 가장 부드럽습니다.", "두 번째 소리가 가장 부드럽습니다.", "세번째 소리가 가장 부드럽습니다."]	["El primer sonido fue el más suave", "El segundo sonido fue el más suave", "El tercer sonido fue el más suave"]	["O primeiro som foi o mais baixo", "O segundo som foi o mais baixo", "O terceiro som foi o mais baixo"]	["Der erste Ton war der leiseste.", "Der zweite Ton war das leiseste.", "Der dritte Ton war das leiseste."]	["Het eerste geluid was het zachtst., "Het tweede geluid was het zachtst.", "Het derde geluid was het zachtst."]	["第一声最小。", "第二声最小。", "第三声最小"]	["صدا اول از همه ملایم تر بود.", "صدای دوم  از همه ملایم تر بود.", "صدای سوم  از همه ملایم تر بود"]	["Pirmasis tyliausias.", "Antrasis tyliausias.", "Trečiasis tyliausias."]	["The first sound was the softest.", "The second sound was the softest.", "The third sound was the softest."]	["Den første lyden var stillest.", "Den andre lyden var stillest.", "Den tredje lyden var stillest."]	["Ang unang tunog ay ang pinakamalambot.", "Ang pangalawang tunog ay ang pinakamalambot.", "Ang ikatlong tunog ay ang pinakamalambot."]
headPhoneScreenerAgain	You didn't pass the headphone test--do you want to try again?											You didn't pass the headphone test--do you want to try again?	Du har ikke bestått høretelefontesten - vil du prøve igjen?	Hindi ka nakapasa sa pagsubok sa headphone--gusto mo bang subukang muli?
headPhoneScreenerAgainOptions	["I want to try again","I'd like to leave the experiment"]											["I want to try again","I'd like to leave the experiment"]	["Jeg vil prøve igjen", "Jeg vil forlate eksperimentet"]	["Gusto kong subukang muli","Gusto kong umalis sa eksperimento"]
headPhoneFailMessage	"The experiment was ended because you didn't pass the headphone test.<br> You will be redirected.<br><br> Thanks for trying!"											"The experiment was ended because you didn't pass the headphone test.<br> You will be redirected.<br><br> Thanks for trying!"	“Eksperimentet er avslutten fordi du ikke har bestått høretelefontesten.<br> Du blir nå omdirigert.<br><br> Takk for forsøket ditt!»	"Natapos ang eksperimento dahil hindi ka nakapasa sa headphone test.<br> Ire-redirect ka.<br><br> Salamat sa pagsubok!"
naturalnessQuestion	How natural did you find this sentence?	Cette phrase vous semblait-elle naturelle?	この文はどのくらい自然ですか。	이 문장을 얼마나 자연스럽게 찾았습니까?	¿Qué tan natural le pareció la oración?	Quão natural você achou a frase?	Wie natürlich fanden Sie diesen Satz?	Hoe natuurlijk klonk deze zin?	您觉得这句话有多自然？	به نظر شما این جمله چقدر طبیعی است؟	Kaip natūraliai skambėjo šis sakinys?	How natural did you find this sentence?	Hvor naturlig var denne setningen for deg?	Paano natural na natagpuan mo ang pangungusap na ito?
naturalnessQuestionContext	How natural did you find the response given the context?	À quel point jugez-vous la réponse naturelle en fonction du contexte?	与えられた文脈を踏まえると、この返答はどのくらい自然ですか。	컨텍스트가 주어진 응답을 얼마나 자연스럽게 찾았습니까?	¿Qué tan natural le pareció la respuesta dado el contexto?	Quão natural você achou a resposta, considerando o contexto?	Wie natürlich fanden Sie die Antwort in diesem Kontext?	Hoe natuurlijk klonk het antwoord met de gegeven context?	联系上下文, 您认为该回答有多自然？	با توجه به متن, به نظر شما این پاسخ چقدر طبیعی است؟	Kaip natūraliai skambėjo atsakymas šiame kontekste?	How natural did you find the response given the context?	Hvor naturlig var denne responsen med tanke på konteksten?	Paano natural na nakita mo ang tugon na ibinigay sa konteksto?
naturalnessOptions	["completely unnatural", "completely natural"]	["aucunement naturel", "totalement naturel"]	["完全に不自然", "完全に自然"]	["완전히 부자연 스러움",, "완전히 자연 스러움"]	["para nada natural", "completamente natural"]	["nada natural", "completamente natural"]	["völlig unnatürlich", "völlig natürlich"]	["volledig onnatuurlijk", "volledig natuurlijk"]	["完全不自然", "完全自然"]	["کاملا غیر طبیعی", "کاملا طبیعی"]	["visiškai nepriimtinas", "visiškai priimtinas"]	["completely unnatural", "completely natural"]	["helt unaturlig", "helt naturlig"]	["ganap na hindi natural", "ganap na natural"]
rateonscale	Rate on a scale between:				Califica en una escala entre:	Avalie em uma escala entre:					Įvertinkite palei numerį:	Rate on a scale between:	Gi en vurdering på en skala mellom:	Rate sa isang sukat sa pagitan ng:
and	and				y	e					iki	ne	og	at
mqTrainingTheory	How many years of formal music training (theory) have you had?	Combien d'années de formation musicale formelle (théorique) avez-vous eues?	あなたは何年間音楽の理論を正式に勉強しましたか。	몇 년 동안 공식 음악 교육 (이론)을 받았습니까	¿Cuántos años de entrenamiento formal (teoría) en música ha recibido?	Quantos anos de treinamento formal (teoria) em música você recebeu?	Wie viele Jahre formale Musikausbildung (Theorie) hatten Sie?	Hoeveel jaar formele muzikale training heb jij gehad?	您接受了多少年的正规音乐培训（理论) ?	چند سال آموزش تئوری موسیقی داشته اید؟	Kiek metų formaliai mokėtės muzikos (teorijos)?	How many years of formal music training (theory) have you had?	Hvor mange år med formell (eller teoretisk) musikkundervisning har du hatt?	Ilang taon ka na ng pormal na pagsasanay sa musika (teorya)?
mqKnowTheory	How much do you know about music structure and theory?	Que connaissez-vous de la structure et de la théorie musicale?	あなたはどのくらい音楽の構造と理論を理解していますか。	음악 구조와 이론에 대해 얼마나 알고 있습니까	¿Cuánto sabe sobre la estructura y la teoría de la música?	Quanto você sabe sobre estrutura e teoria musical?	Wie viel wissen Sie über Musikstruktur und -theorie?	Hoeveel weet jij over muzikale structuren and muziektheorie?	您对音乐的结构和理论了解多少?	چقدر در مورد ساختار و تئوری موسیقی می دانید؟	Kiek žinote apie muzikos struktūrą ir teoriją?	How much do you know about music structure and theory?	Hvor mye vet du om musikalsk struktur og teori?	Magkano ang alam mo tungkol sa istraktura at teorya ng musika?
mqTrainingPractice	How many years of formal music training (practice) have you had?	Combien d'années de formation musicale formelle (pratique) avez-vous eues?	あなたは何年間音楽の演奏技術を正式に訓練していますか。	몇 년 동안 공식 음악 훈련 (연습)을 했습니까	¿Cuántos años de entrenamiento formal (práctica) en música ha recibido?	Quantos anos de treinamento formal (prática) em música você recebeu?	Wie viele Jahre formale Musikausbildung (Praxis) hatten Sie?	Hoeveel jaar heb jij een muziekinstrument bespeelt op hoog niveau?	您接受了多少年的正规音乐培训（练习) ?	چند سال آموزش اجرای موسیقی داشته اید؟	Kiek metų formaliai mokėtės muzikos (praktikos)?	How many years of formal music training (practice) have you had?	Hvor mange år med formell musikkundervisning har du hatt?	Ilang taon ka na ng pormal na pagsasanay sa musika (pagsasanay)?
mqMakeProfessional	How often do you engage in professional music making (e.g., singing, playing an instrument, composing)?	À quelle fréquence vous engagez-vous dans la création musicale professionnelle (par exemple, en chantant, en jouant d'un instrument ou en composant de la musique) ?	あなたが仕事として音楽を作成する頻度を教えてください。(例:作曲、演奏、声楽)	전문 음악 제작에 얼마나 자주 참여하십니까 (예 : 노래, 악기 연주, 작곡)	¿Con qué frecuencia se involucra en la realización de música como profesional?(p. ej., cantar, tocar un instrumento, componer)?	Com que frequência você se dedica à produção musical profissionalmente (p. ex. cantando, tocando um instrumento, compondo)?	Wie oft machen Sie professionell Musik(z. B. singen, ein Instrument spielen, komponieren)? 	"Hoe vaak houd jij je bezig met muziek op hoog niveau 
      (bijv. zang, instrument bespelen, componeren)?"	您多长时间从事一次专业音乐制作（例如:唱歌, 弹奏乐器, 作曲) ?	هر چند وقت یکبار به تولید موسیقی حرفه ای (مانند آواز خواندن, نواختن ساز, آهنگسازی) مشغول می‌شوید؟	Kokiu dažnumu užsiimate profesionaliu muzikavimu (pvz., dainuojate, grojate instrumentu, kuriate)?	How often do you engage in professional music making (e.g., singing, playing an instrument, composing)?	Hvor ofte holder du på med profesjonell musikk? (for eksempel å synge, spille instrument, komponere, osv.)	Gaano ka kadalas nakikibahagi sa propesyonal na paggawa ng musika (hal., pagkanta, pagtugtog ng instrumento, pag-compose)?
mqMakePractice	How often did or do you practice or rehearse with an instrument or singing?	À quelle fréquence répétez-vous de la musique (en chantant ou en jouant un instrument) ?	あなたが楽器の演奏や声楽を練習する、もしくは練習した頻度を教えてください。	악기 나 노래로 얼마나 자주 연습하거나 연습합니까	¿Con qué frecuencia practica instrumentos musicales o canta?	Com que frequência você pratica instrumentos musicais ou canta?	Wie oft üben Sie heute oder haben Sie früher geübt (ob singen oder mit Instrument)?	Hoe vaak speel/speelde je een muziekinstrument of zing/zong jij?	您多久进行一次乐器或歌唱练习/排练？	چند وقت یکبار تمرین ساز یا آواز انجام می دهید؟	Kokiu dažnumu repetuojate su instrumentu arba dainuojate?	How often did or do you practice or rehearse with an instrument or singing?	Hvor ofte øver du (eller har du øvd) på å spille instrument eller synge?	Gaano ka kadalas nagsanay o nag-ensayo gamit ang isang instrumento o pagkanta?
mqMakeHobby	How often do you engage in music making as a hobby or as an amateur?	À quelle fréquence vous engagez-vous dans la création musicale comme passe-temps ou comme amateur?	あたながプロとしてではなく、趣味で音楽を作成する頻度を教えてください。	취미 나 아마추어로서 음악 제작에 얼마나 자주 참여하십니까	¿Con qué frecuencia se involucra en la música como pasatiempo o como aficionado?	Com que frequência você se envolve com produção musical como hobby ou como amador?	Wie oft machen Sie Hobby-mäßig Musik?	Hoe vaak houd jij je bezig met muziek als een hobby of als amateur?	您多久从事一次业余音乐制作?	هر چند وقت یکبار به عنوان سرگرمی یا به صورت آماتور به ساخت موسیقی می پردازید؟	Kokiu dažnumu mėgėjiškai užsiimate muzikavimu?	How often do you engage in music making as a hobby or as an amateur?	Hvor ofte holder du på med musikkteori som hobby eller som amatør?	Gaano ka kadalas nakikibahagi sa paggawa ng musika bilang isang libangan o bilang isang baguhan?
scaleYears	["None", "1 year", "2years", "3 years", "4 years", "5 years", "6 years", "7 years", "8 years", "more than 8 years"]	["Aucun", "1 année", "2 années", "3 années", "4 années", "5 années", "6 années", "7 années", "8 années", "plus de 8 ans"]	["全くない","１年", "２年", "３年", "４年", "５年", "６年",  "７年", "８年", "9年以上" ]	["없음", "일년", "2 년", "3 년", "4 년", "5 년", "6 년", "7 년", "8 년", "8 년 이상"]	["Ninguno", "1 año", "2 años", "3 años", "4 años", "5 años", "6 años", "7 años", "8 años", "más de 8 años"]	["Nenhum", "1 ano", "2 anos", "3 anos", "4 anos", "5 anos", "6 anos", "7 anos", "8 anos", "mais de 8 anos"]	["Gar nicht oder weniger als 1 Jahr", "1 Jahr", "2 Jahre", ”3 Jahre", “4 Jahre", ”5 Jahre", “6 Jahre", ”7 Jahre", “8 Jahre", ”mehr als 8 Jahre"]	["nooit", "1 jaar", "2 jaar", "3 jaar", "4 jaar", "5 jaar", "6 jaar", "7 jaar", "8 jaar", "meer dan 8 jaar"]	["无", "1  年", "2 年", "3 年", "4 年", "5 年",  "6 年", "7 年", "8 年", "超过8年"]	["هیچ", "1 سال", "2 سال", "3 سال", "4 سال", "5 سال", "6 سال", "7 سال", "8 سال", "بیش از 8 سال" ]	["Nekiek", "Vienus metus", "Du metus", "Trys metus", "Keturis metus", "Penkis metus", "Šešius metus", "Septynius metus", "Aštuonius metus", "daugiau nei aštuonius"]	["None", "1 year", "2years", "3 years", "4 years", "5 years", "6 years", "7 years", "8 years", "more than 8 years"]	["Ingen", "1 år", "2 år", "3 år", "4 år", "5 år", "6 år", "7 år", "8 år", "mer enn 8 år"]	["Wala", "1 taon", "2 taon", "3 taon", "4 na taon", "5 taon", "6 na taon", "7 taon", "8 taon", "higit sa 8 taon" ]
scaleHowMuch	["Nothing", "A little", "A fair amount", "A moderate amount", "A great deal"]	["Rien", "Un peu", "Une bonne quantité", "Relativement beaucoup", "Énormément"]	["全く理解してない", "少し理解している", "ある程度理解している", "だいたい理解している",  "とてもよく理解している"]	["아무것도", "조금", "공정한 금액", "중간 정도", "아주 더"]	["Nada", "Un poco", "Una cantidad moderada", "Bastante", "Mucho"	["Nada", "Um pouco", "Uma quantidade razoável", "Bastante", "Muito"	["Nichts", "Ein wenig", "Einigermaßen viel", "Relativ viel", "Sehr viel"	["Niks", "Een beetje", "Best wel veel", "Veel", "Heel veel"]	["无", "一点", "相当数量", "适量", "很多"]	["هیچ", "کمی", "مقدار قابل توجه", "مقدار مناسب", "بسیار زیاد"]	["Nieko", "Truputi", "Pakankamai", "Gana daug", "Labai daug"]	["Nothing", "A little", "A fair amount", "A moderate amount", "A great deal"]	["Ingenting", "Litt", "En del", "En god del", "Mye"]	["Wala", "Medyo", "Makatarungang halaga", "Katamtamang halaga", "Malaking deal"]
